[2025-05-02 10:36:39] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 10:48:16] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 10:54:27] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-02 11:06:23] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-02 11:07:49] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 11:09:21] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 11:12:34] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 11:29:06] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 11:29:35] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 12:14:16] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 12:26:45] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 12:27:04] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-02 13:41:49] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-03 22:13:54] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-03 22:17:31] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-03 22:19:54] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-03 22:25:06] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-06 13:36:19] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-06 14:54:50] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-06 14:59:50] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-06 16:11:33] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-07 08:19:35] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-07 08:36:01] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-07 08:38:35] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-14 13:07:40] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
[2025-05-14 13:10:04] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-14 13:42:52] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-14 13:55:01] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-14 14:16:27] Total Vehicle Count: 4, Emergency Vehicle Count: 0, Traffic Light Status: Red
[2025-05-14 14:20:51] Total Vehicle Count: 5, Emergency Vehicle Count: 1, Traffic Light Status: Green
